kirishizdrav.ru 95.221.84.202 - - [27/Sep/2018:00:22:15 +0300] "GET /tm/SelectSpeciality.php?ReceptionPlacesID=1&ReceptionPlacesPhone=&ReceptionPlacesName=%D0%92%D0%B7%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D1%8F+%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0&_=1537996935476 HTTP/1.1" 200 3620 "http://kirishizdrav.ru/zapis-onlajn/?ReceptionPlacesID=1&ReceptionPlacesPhone=&ReceptionPlacesName=%D0%92%D0%B7%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36" 0
kirishizdrav.ru 77.222.61.248 - - [27/Sep/2018:00:22:48 +0300] "POST /wp-cron.php?doing_wp_cron=1537996968.0976579189300537109375 HTTP/1.1" 200 - "http://kirishizdrav.ru/wp-cron.php?doing_wp_cron=1537996968.0976579189300537109375" "WordPress/4.9.8; http://kirishizdrav.ru" 0
kirishizdrav.ru 194.165.23.3 - - [27/Sep/2018:00:22:47 +0300] "GET /rss HTTP/1.1" 301 - "-" "-" 1
kirishizdrav.ru 194.165.23.3 - - [27/Sep/2018:00:22:48 +0300] "GET /feed/ HTTP/1.1" 200 70072 "-" "-" 0
kirishizdrav.ru 141.8.183.31 - - [27/Sep/2018:00:22:51 +0300] "GET /wp-content/uploads/2016/01/PhotoFunia-1453738753.jpg HTTP/1.1" 304 - "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)" 0
kirishizdrav.ru 66.102.9.25 - - [27/Sep/2018:00:22:52 +0300] "GET /detskaya-poliklinika/ HTTP/1.1" 302 314 "https://www.yandex.ru/" "Mozilla/5.0 (Linux; Android 7.0; F3112 Build/33.3.A.1.97) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Mobile Safari/537.36" 0
kirishizdrav.ru 94.243.252.214 - - [27/Sep/2018:00:23:06 +0300] "GET /zapis-onlajn/ HTTP/1.1" 200 41516 "https://yandex.ru/" "Mozilla/5.0 (Linux; Android 5.1.1; Redmi Note 3 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Mobile Safari/537.36" 0
kirishizdrav.ru 94.243.252.214 - - [27/Sep/2018:00:23:07 +0300] "GET /tm/jquery-1.3.2.js HTTP/1.1" 200 120618 "http://kirishizdrav.ru/zapis-onlajn/" "Mozilla/5.0 (Linux; Android 5.1.1; Redmi Note 3 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Mobile Safari/537.36" 0
kirishizdrav.ru 94.243.252.214 - - [27/Sep/2018:00:23:07 +0300] "GET /wp-includes/js/jquery/jquery.js?ver=1.12.4 HTTP/1.1" 200 97184 "http://kirishizdrav.ru/zapis-onlajn/" "Mozilla/5.0 (Linux; Android 5.1.1; Redmi Note 3 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Mobile Safari/537.36" 0
kirishizdrav.ru 94.243.252.214 - - [27/Sep/2018:00:23:08 +0300] "GET /tm/TicketsModule.php? HTTP/1.1" 200 1180 "http://kirishizdrav.ru/zapis-onlajn/" "Mozilla/5.0 (Linux; Android 5.1.1; Redmi Note 3 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Mobile Safari/537.36" 0
